SENDER,SENDER_NAME,SENDER_TAG,SENDER_PARENT,SENDER_CHILD_1,SENDER_CHILD_2,SENDER_CHILD_3,SENDER_TYPE_FINAL
HDFCBK,HDFC BANK,,FINANCIAL,BANK,,,FINANCIAL BANK  
AXISBK,AXIS BANK,,FINANCIAL,BANK,,,FINANCIAL BANK  
IPAYTM,PAYTM,,FINANCIAL,WALLET,,,FINANCIAL WALLET  
ICICIB,ICICI BANK,,FINANCIAL,BANK,,,FINANCIAL BANK  
SBICRD,SBI CARD,,FINANCIAL,BANK,CREDIT CARD,,FINANCIAL BANK CREDIT CARD 
CITIBK,CITIBANK,,FINANCIAL,BANK,,,FINANCIAL BANK  
OXIGEN,OXIGEN WALLET,,FINANCIAL,WALLET,,,FINANCIAL WALLET  
MOBIKW,MOBIKWIK,,FINANCIAL,WALLET,,,FINANCIAL WALLET  
FCHRGE,FREECHARGE,,FINANCIAL,WALLET,,,FINANCIAL WALLET  
KOTAKB,KOTAK BANK,,FINANCIAL,BANK,,,FINANCIAL BANK  
SBIINB,STATE BANK OF INDIA,,FINANCIAL,BANK,,,FINANCIAL BANK  
ATMSBI,STATE BANK OF INDIA,,FINANCIAL,BANK,DEBIT CARD,,FINANCIAL BANK DEBIT CARD 
CANBNK,CANARA BANK,,FINANCIAL,BANK,,,FINANCIAL BANK  
IDBIBK,IDBI BANK,,FINANCIAL,BANK,,,FINANCIAL BANK  
KOTAKS,KOTAK SECURITIES,,FINANCIAL,INVESTMENT,BROKERAGE,,FINANCIAL INVESTMENT BROKERAGE 
HDFCSL,HDFC STANDARD LIFE,,FINANCIAL,INSURANCE,LIFE INSURANCE,,FINANCIAL INSURANCE LIFE INSURANCE 
KSTECH,KOTAK SECURITIES,,FINANCIAL,INVESTMENT,BROKERAGE,,FINANCIAL INVESTMENT BROKERAGE 
BOBTXN,BANK OF BARODA,,FINANCIAL,BANK,,,FINANCIAL BANK  
MAHABK,BANK OF MAHARASHTRA,,FINANCIAL,BANK,,,FINANCIAL BANK  
KTKBNK,KARNATAKA BANK,,FINANCIAL,BANK,,,FINANCIAL BANK  
BOIIND,BANK OF INDIA,,FINANCIAL,BANK,,,FINANCIAL BANK  
OBCBNK,ORIENTAL BANK OF COMMERCE,,FINANCIAL,BANK,,,FINANCIAL BANK  
