HDFCBK,HDFC BANK
AXISBK,AXIS BANK
IPAYTM,PAYTM
ICICIB,ICICI BANK
SBICRD,SBI CARD
CITIBK,CITIBANK
OXIGEN,OXIGEN WALLET
MOBIKW,MOBIKWIK
FCHRGE,FREECHARGE
KOTAKB,KOTAK BANK
SBIINB,STATE BANK OF INDIA
ATMSBI,STATE BANK OF INDIA
CANBNK,CANARA BANK
IDBIBK,IDBI BANK
KOTAKS,KOTAK SECURITIES
HDFCSL,HDFC STANDARD LIFE
KSTECH,KOTAK SECURITIES
BOBTXN,BANK OF BARODA
MAHABK,BANK OF MAHARASHTRA
KTKBNK,KARNATAKA BANK
BOIIND,BANK OF INDIA
OBCBNK,ORIENTAL BANK OF COMMERCE
UNIONB,UNION BANK
CBSSBI,STATE BANK OF INDIA
HSBCIN,HSBC
PAYUMN,PAYU MONEY
PNBSMS,PUNJAB NATIONAL BANK
CITRUS,CITRUS PAY
FROMSC,STANDARD CHARTERED
VPAYTM,PAYTM
UCOBNK,UCO BANK
INDUSB,INDUSIND BANK
CORPBK,CORPORATION BANK
SBHINB,STATE BANK OF HYDERABAD
CENTBK,CENTRAL BANK
RBLBNK,RATNAKAR BANK LIMITED
RMFUND,RELIANCE MUTUAL FUND
SBGMBS,OXIGEN WALLET
KRVUTI,KARVY UTI
IOBCHN,INDIAN OVERSEAS BANK
MYAMEX,AMERICAN EXPRESS
BAJAJF,BAJAJ FINSERVE
NSESMS,NSE
WOOHOO,WOOHOO
SBILIF,SBI LIFE
DMRSMS,RATNAKAR MONEY SERVICES
ALBANK,ALLAHABAD BANK
PAYONE,PAYONE
POCKET,POCKETS
LICIND,LIC
AXISDT,AXIS DIRECT
JTRADE,JUST TRADE
NSDLPN,NSDL
GUDWIL,MCX
PAYZAP,PAYZAPP
MOTRDS,MOTILAL OSWAL
ICICIM,ICICI MERCHANT SERVICES
DATABK,DATABACK
UVAPNT,UVAPOINT
MCENTT,MCENT
CUBANK,CITY UNION BANK
CTOPUP,C TOP UP
SHMART,SHMART
PAYPAL,PAYPAL
RBLCRD,RATNAKAR BANK LIMITED
LADOOO,LADOOO
STARBI,BANK OF INDIA
HDFCMF,HDFC MUTUAL FUND
KSTRDE,KOTAK SECURITIES
ONGOWL,ONGO
AIRMNY,AIRTEL MONEY
BKDENA,DENA BANK
CBSSBH,STATE BANK OF HYDERABAD
KSDERV,KARVY UTI
YESBNK,YES BANK
QCMAPP,WOOHOO
SBIPSG,STATE BANK OF HYDERABAD
ANGBRK,ANGEL BROKING
BOBSMS,BANK OF BARODA
SCISMS,STATE BANK OF INDIA
SARBNK,SARASWAT BANK
ZEBPAY,ZEBPAY
TJSBNK,TJS BANK
HDFCMP,HDFC
ICICIL,ICICI LOMBART
ITZCSH,ITZ CASH
INDBNK,INDIAN BANK
FEDBNK,FEDERAL BANK
SBIACS,STATE BANK OF INDIA
PNBACS,PUNJAB NATIONAL BANK
SYBANK,SYNDICATE BANK
SBIWAL,STATE BANK OF INDIA BUDDY
SBIMFD,SBI MUTUAL FUNDS
AXISMF,AXIS BANK
IDFCBK,IDFC BANK
BILLDK,BILL DESK
INGVYS,ING VYASYA
AIRVOT,AIRTEL MONEY
SBIBIL,SBI CARD
SBIBDP,STATE BANK OF INDIA
SBISSL,STATE BANK OF INDIA
SBIBNK,STATE BANK OF INDIA
SBIGEN,SBI GENERAL INSURANCE
GRCSBI,STATE BANK OF INDIA
SBIFRW,STATE BANK OF INDIA
ICICIP,ICICI PRUDENTIAL
SBIAO1,STATE BANK OF INDIA
SBIDCL,STATE BANK OF INDIA
SBIHYD,STATE BANK OF INDIA
PAYBAK,PAYBACK
EKARTL,E-KART LOGISTICS
GOOGLE,GOOGLE
DHCBAS,DELHI HIGH COURT BAR ASSOCIATION
DCEGGN,DRONACHARYA COLLEGE OF ENGINEERING
SMSCOU,RKDF UNIVERSITY
ICSIHQ,INST OF COMPANY SECRETARIES
SBHHYD,STATE BANK OF HYDERABAD
MININB,GOVERNMENT OF INDIA
EPFOHO,EPFO
HBLHRD,HBL GLOBAL
SWNFLU,SWINE FLU
INVTCH,OTHERS
DLHVRY,DELHIVERY
JAVAAS,GOJAVAS
VCDDEL,OTHERS
ITDCPC,INCOME TAX CPC
SMARRY,SIMPLY MARRY
ADHAAR,ADHAAR
MYGOVT,MY GOVT
WIPROT,WIPRO
KARDPR,KARNATAKA GOVT
BLUDRT,BLUE DART
SHAADI,SHAADI.COM
MONSTR,MONSTER
TCSPSK,PASSPORT SEVA KENDRA
SEBIED,SEBI
NAUKRI,NAUKRI
ITDEFL,INCOME TAX CPC
BSSTPT,BARCLAYS SHARED SERVICES
APNACX,APNA COMPLEX
INTSHL,INTERNSHALA
CRWNIT,CROWNIT
ITDEPT,INCOME TAX CPC
ENCRCL,ENCIRCLE
GENPAC,GENPACT
VERIFY,OTHERS
MYHOME,NIRMAL LIFE STYLE
APDPLC,AMARPRAKASH TEMPLEWAVES
FACEBK,FACEBOOK
NGROUP,NARAYANA GROUP
VISHAL,NAVIGATOR TUTORIALS
IMSIND,IMS TUTORIALS
DAMSCH,DAMS CHANDIGARH
ECOMEX,ECOM EXPRESS
MAHESH,MAHESH TUTORIAL
HIKEPN,HIKE MESSENGER
ARAMEX,ARAMEX
SBIPOS,STATE BANK OF INDIA
SBICLK,STATE BANK OF INDIA
SBISPL,STATE BANK OF INDIA
ASOSBI,STATE BANK OF INDIA
FSTCRY,FIRSTCRY
QUIKRR,QUIKR 
SULEKH,SULEKHA.COM
LITTLE,LITTLE APP
NBUYIN,NEARBUY INDIA
OLACAB,OLA CABS
DOMINO,DOMINO'S PIZZA
DDIMER,DESI DIMES
SFREEB,FREEB
EDEALS,DEALS N PRICE
IRCTCI,IRCTC
MYDALA,MYDALA
GOIBIB,GOIBIBO
FPANDA,FOODPANDA
RUMOUR,RUMOUR - LOUNGE
UBERIN,UBER INDIA
ZOPPER,ZOPPER
YFCFIT,YOUR FITNESS CLUB
BMSHOW,BOOKMYSHOW
MYNTRA,MYNTRA
TAXIFS,TAXIFORSURE
JABONG,JABONG
JUSTDL,JUST DIAL
IYEPME,YEP ME
ZIVAME,ZIVAME
INDIGO,INDIGO AIRLINES
SWIGGY,SWIGGY
AMSWAN,AMERICAN SWAN
PRPLLE,PURPLLE
PPPRTP,PEPPERTAP
GFXOXO,GIFT XOXO
